id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12548411,Vintage bungalow basement suite,68009704,Moizza,,Albany Park,41.969999898307975,-87.73339169189389,Private room,34,3,15,2018-09-23,1.11,1,229
12553492,8 BEDROOMS  4 BT near Loop United  UIC McCormick,46160528,John,,Near West Side,41.87122125812372,-87.66569374960095,Entire home/apt,600,2,57,2018-10-09,2.25,11,266
12560787,Lovely Logan Square Suite for Two,68089316,Susan,,Logan Square,41.91498248070494,-87.69912386109979,Entire home/apt,99,3,24,2018-10-08,0.87,1,354
12571638,Sunny Logan Square Getaway!,3563595,Courtney,,Logan Square,41.924863793220354,-87.7113105921994,Entire home/apt,90,1,18,2017-08-26,1.17,1,0
12581064,Elegant vintage apartment in Ravenswood,23503681,Francesca,,Lincoln Square,41.965898839722286,-87.6812837246127,Entire home/apt,210,1,10,2018-09-30,1.55,3,76
12584395,MODERN BIG NEW 2BD 2BH RIVER NORTH,49626033,Roma,,Loop,41.867446142734565,-87.63103730214107,Entire home/apt,200,30,0,,,19,346
12586766,1BR in the heart of Portgage Park,51964855,Nicole,,Portage Park,41.95391859853763,-87.75013653331857,Entire home/apt,75,2,31,2018-09-22,2.73,1,0
12588033,Country living in the city. Huge beautiful home.,2439224,Peter,,Irving Park,41.9510954171977,-87.72433142016202,Entire home/apt,275,2,8,2017-10-22,0.28,1,0
12588393,Brownstone Condo One-Minute Walk to Wrigley Field,54662822,Rob & Krista,,Lake View,41.95157945401032,-87.65546306268962,Entire home/apt,229,2,49,2018-09-14,1.71,1,67
12589894,High rise condo with great views!,30702570,James,,Near North Side,41.88976827046672,-87.63307351450388,Entire home/apt,205,4,1,2018-10-08,1,1,159
12590517,"Sunny, Jumbo 2 Bedroom Mega Space. Walk to Train!",10917550,Nicky,,East Garfield Park,41.88755732429525,-87.70229246302473,Entire home/apt,98,1,134,2018-09-23,4.50,13,347
12606818,Wicker Park One Bedroom Unit With Patio!,68423664,Tony,,West Town,41.90462945090559,-87.66497568974081,Entire home/apt,60,2,22,2018-09-17,0.76,1,0
12611733,Cozy Garden Studio on Quiet Street,1761244,Jake,,West Town,41.908527682077064,-87.68947583744568,Entire home/apt,84,3,77,2018-10-10,4.52,2,21
12623279,The Blackhawk Tavern: Relax + Entertain+Privacy!,10837582,Dw,,West Town,41.90620733031465,-87.67044738423381,Entire home/apt,99,3,44,2018-10-03,1.48,1,2
12631039,Bright newly remodeled 2bdr Apt off the train,14340142,Brendan,,Albany Park,41.9668850966606,-87.70577901794861,Entire home/apt,175,31,3,2016-11-16,0.13,1,282
12673204,Charming Private Home in Lincoln Square,34473759,Kerry,,Lincoln Square,41.97349805227084,-87.69647199235654,Entire home/apt,190,2,10,2018-08-07,0.35,2,3
12681123,Cozy Garden Apartment,68904679,Destiny,,West Town,41.91184468361912,-87.69954172644076,Entire home/apt,90,1,74,2018-09-23,2.48,1,205
12683444,Private In-law Suite near O'Hare,68923281,Horatio,,Dunning,41.9404220369727,-87.83040167387459,Entire home/apt,149,1,44,2018-09-17,1.65,1,317
12684093,Cozy Basics,2265100,Leah,,Logan Square,41.92487644584048,-87.70351926336394,Entire home/apt,85,2,86,2018-09-09,2.89,1,344
12698881,One Block to Wrigley Field,5176421,Jamie,,Lake View,41.94770283977511,-87.6601027982733,Entire home/apt,150,1,113,2018-10-05,3.89,1,352
12710432,Wicker Park eclectic 1 BD near Blue Line,69098086,Mary Grace,,West Town,41.90965126151206,-87.68294674744024,Private room,100,1,10,2018-10-07,3.66,1,77
12714714,Cozy Studio Apt. Home--5 Min. to U of C,69130426,Charla,,Hyde Park,41.79770172035238,-87.60196066398744,Entire home/apt,60,2,91,2018-09-08,3.38,1,332
